ScripNo,underlyingScripNo,Instrument,symbol,tradeSymbol,MLot,expiryDate,StrikePrice,OptType
35055,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11400CE,50,2017-02-23,11400,CE
35056,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730219900PE,40,2017-03-02,19900,PE
35057,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11400PE,50,2017-02-23,11400,PE
35058,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11500CE,50,2017-02-23,11500,CE
35059,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11500PE,50,2017-02-23,11500,PE
35060,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11600CE,50,2017-02-23,11600,CE
35061,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11600PE,50,2017-02-23,11600,PE
35062,26028,OPTIDX,S&P500,S&P50017SEP2035CE,250,2017-09-15,2035,CE
35063,26028,OPTIDX,S&P500,S&P50017SEP2035PE,250,2017-09-15,2035,PE
35064,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB21200CE,40,2017-02-23,21200,CE
35065,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11700CE,50,2017-02-23,11700,CE
35066,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB11700PE,50,2017-02-23,11700,PE
35067,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB21200PE,40,2017-02-23,21200,PE
35068,26000,OPTIDX,NIFTY,NIFTY17JUN7000CE,75,2017-06-29,7000,CE
35069,26000,OPTIDX,NIFTY,NIFTY17JUN7000PE,75,2017-06-29,7000,PE
35070,26024,OPTIDX,NIFTYPSE,NIFTYPSE17FEB4500CE,200,2017-02-23,4500,CE
35071,26024,OPTIDX,NIFTYPSE,NIFTYPSE17FEB4500PE,200,2017-02-23,4500,PE
35072,26000,OPTIDX,NIFTY,NIFTY17JUN7100CE,75,2017-06-29,7100,CE
35073,26000,OPTIDX,NIFTY,NIFTY17JUN7100PE,75,2017-06-29,7100,PE
35074,26028,FUTIDX,S&P500,S&P50017APRFUT,250,2017-04-21,-1,XX
35075,26009,OPTIDX,BANKNIFTY,BANKNIFTY1731617200CE,40,2017-03-16,17200,CE
35076,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB21300CE,40,2017-02-23,21300,CE
35077,1567,OPTSTK,ABIRLANUVO,ABIRLANUVO17FEB1800CE,400,2017-02-23,1800,CE
35078,1567,OPTSTK,ABIRLANUVO,ABIRLANUVO17FEB1800PE,400,2017-02-23,1800,PE
35079,22,OPTSTK,ACC,ACC17FEB900CE,400,2017-02-23,900,CE
35080,22,OPTSTK,ACC,ACC17FEB900PE,400,2017-02-23,900,PE
35081,15083,OPTSTK,ADANIPORTS,ADANIPORTS17FEB390CE,2500,2017-02-23,390,CE
35082,26009,OPTIDX,BANKNIFTY,BANKNIFTY17FEB21300PE,40,2017-02-23,21300,PE
35083,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730221200CE,40,2017-03-02,21200,CE
35084,26000,OPTIDX,NIFTY,NIFTY18JUN7600CE,75,2018-06-28,7600,CE
35085,26000,OPTIDX,NIFTY,NIFTY18JUN7600PE,75,2018-06-28,7600,PE
35086,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730221200PE,40,2017-03-02,21200,PE
35087,26027,FUTIDX,DJIA,DJIA17DECFUT,30,2017-12-15,-1,XX
35088,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730221300CE,40,2017-03-02,21300,CE
35089,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730221300PE,40,2017-03-02,21300,PE
35090,15083,OPTSTK,ADANIPORTS,ADANIPORTS17FEB390PE,2500,2017-02-23,390,PE
35091,1270,OPTSTK,AMBUJACEM,AMBUJACEM17FEB305CE,2500,2017-02-23,305,CE
35092,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730221800CE,40,2017-03-02,21800,CE
35093,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730221800PE,40,2017-03-02,21800,PE
35094,1270,OPTSTK,AMBUJACEM,AMBUJACEM17FEB305PE,2500,2017-02-23,305,PE
35095,26000,OPTIDX,NIFTY,NIFTY17MAR10600CE,75,2017-03-30,10600,CE
35096,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730921200CE,40,2017-03-09,21200,CE
35097,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730921200PE,40,2017-03-09,21200,PE
35098,26000,OPTIDX,NIFTY,NIFTY17MAR10600PE,75,2017-03-30,10600,PE
35099,26000,OPTIDX,NIFTY,NIFTY20DEC10600CE,75,2020-12-31,10600,CE
35100,26000,OPTIDX,NIFTY,NIFTY20DEC10600PE,75,2020-12-31,10600,PE
